Username,Text,language,retweet_count,Time,location
radmani3487,"While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/fHUnttvDRF",en,2887,2022-12-31 17:17:48+00:00,
SHAH_BA_BA,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:17:47+00:00,
khanomeblack,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:17:43+00:00,
Niika1401,"@F_karamizand A photo of Martyr Burhan Aliasi in Javanroud, who was martyred today by Khamenei    December 31  #MahsaAmini  #Iran  @UN   @UN_HRC   @GermanyDiplo   @EU_Commission https://t.co/YQ7ZynWpE3",en,1,2022-12-31 17:17:42+00:00,
Amotevalli,"Khamenei fears even the commemoration of slain protesters. In Javanrud, people gathered to pay tribute to 7 protesters killed 40 days ago. Security forces opened fire, killing another brave young man, Borhan Eliasi. These crimes will only fuel the flames of #Iranprotests.  #Iran https://t.co/XD98lLfCHA",en,80,2022-12-31 17:17:42+00:00,"Oslo, Norway"
drsnowball007,It’s sad cause it’s true.    #IranRevolution #Iran #IranLobby https://t.co/68Rr8hwtYp,en,1866,2022-12-31 17:17:40+00:00,ASEXUAL(Actually Sapiosexual)
Roksi86658900,"As per Iranian revolutionaries’ call earlier this week, there are reports that protests have started today at Tehran’s Grand Bazaar. Video is starting to come in below. #Iran #MahsaAmini https://t.co/PDIM6y0xoe",en,252,2022-12-31 17:17:40+00:00,
tatorehsefid,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:17:39+00:00,
johnsnow_first_,President Zelenskyy: Iranian drones have devastated our infrastructure. One terrorist Russia has found another terrorist: Iran. And he warns us it’s only a matter of time before they hit your other allies. A Democratic Iran is the ONLY SOLUTION.   #Zelensky #iran https://t.co/GYjrzsbSuX,en,596,2022-12-31 17:17:38+00:00,
AMIR__CO2,This morning on the 40th funeral ceremony of the murder of 22 year old #BarhanEliasi where 7 others were murdered in #Javanrud #Iran a large number of people attended and were attacked by IRGC security regime killers again.  #جوانرود #برهان_الیاسی     #mahsaamini  #مهسا_امینی https://t.co/rddauWsBjf,en,15,2022-12-31 17:17:37+00:00,
Amir136198,"Let’s compare the UK’s response to #Russia’s invasion of #Ukraine with #Iran’s regime’s many abuses. It sanctioned *over 1200 people* following Putin’s invasion, while it has only sanctioned *over 40* officials in the Islamic Republic. Time for the UK to step it up. https://t.co/4l5DW2TTsL",en,16,2022-12-31 17:17:36+00:00,
m0zhee,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:17:34+00:00,United States
Iran29233646,"@CNN While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/kRHG1fY6r7",en,0,2022-12-31 17:17:32+00:00,
darrodi,"Khamenei fears even the commemoration of slain protesters. In Javanrud, people gathered to pay tribute to 7 protesters killed 40 days ago. Security forces opened fire, killing another brave young man, Borhan Eliasi. These crimes will only fuel the flames of #Iranprotests.  #Iran https://t.co/XD98lLfCHA",en,80,2022-12-31 17:17:28+00:00,
Baha_hsm,"There was a huge campaign a few wks ago in #Iran to have Raisi’s @instagram banned, but he’s since been verified. President of one of the most anti-internet countries in the 🌍 who deprives #Iranians of net access/social networks now has a blue check mark?  @Meta? #IranRevolution https://t.co/JlwaXkW7ZC",en,618,2022-12-31 17:17:28+00:00,
