Username,Text,language,retweet_count,Time,location
nigelsalter8,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:19:48+00:00,
Twirl1000,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:16:30+00:00,"South East, England"
Feiryred,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:14:21+00:00,Europe
netzGreta,"Iran_Khash.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month. #OpIran #مهسا_امینی @SenRickScott https://t.co/jZIrgl6vmT",en,7,2022-12-31 15:14:11+00:00,
Kajhal14,Sattar Khan and Baqir Khan are all the garbage of the Qajar era and the guard dogs of British interests.   #Mahsa_Amini   #Opiran   #IranRevolution https://t.co/M33Uup7Agi,en,2,2022-12-31 15:14:00+00:00,
netzGreta,"Iran_Rodsar.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers""and the same in the country for more than over 3 Month.#OpIran #مهسا_امینی @SenRubioPress https://t.co/tIpB7Qpoxr",en,8,2022-12-31 15:13:57+00:00,
netzGreta,"Iran_Bokan.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month.#OpIran #مهسا_امینی @ChrisCoons https://t.co/gHAYHpJKVz",en,6,2022-12-31 15:13:25+00:00,
TweetFarangi,@johnn_poul Let's see.  #OpIran,en,4,2022-12-31 15:12:38+00:00,
sspm_workaholic,"@JasonMBrodsky Islamic Republic just wanted to take more hostages,  this is all propaganda to has more foreigner to take more hostages   #MahsaAmini #OpIran #IranRevolution",en,0,2022-12-31 15:12:22+00:00,
BugAtFirstSight,Nation-wide protests and strikes in #IranRevolution today  #SayTheirNames #Mona_Naqeeb #MonaNaqeeb  #OpIran #MahsaAmini #مهسا_امینی,en,0,2022-12-31 15:11:15+00:00,
Anonym0us010101,Happy New Year Anonymous    LOVE AND PEACE  @anonymousopiran   @YourAnonRiots   @Anonymous_VNPC   @YourAnonNews   @YourAnonStory   @YourAnonCentral   @YourAnonOne    @anon_met   @LatestAnonPress   @AnonymousWamp   @AL3_hacker   #OpIran   #MahsaAmini,en,10,2022-12-31 15:09:36+00:00,
Hyonswpr,Women's rights are human rights.  Jin Jiyan Azadi  #OpAFG   #OpIran https://t.co/GJmHDawRp0,en,155,2022-12-31 15:08:26+00:00,
arvindfe,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:07:52+00:00,
afkari_kamangar,@channeldraw Thanks for your support #MahsaAmini #OpIran,en,0,2022-12-31 15:07:08+00:00,Nigeria
Anonym0us010101,@johnn_poul Let's see.  #OpIran,en,4,2022-12-31 15:06:21+00:00,
Nevisande21,"Javanrud is one of the cities of Kurdistan-Iran. A city with a small area,but in the coming revolution,people fought for freedom. The Islamic Republic has started a massacre here.  Be the voice of this revolution. Be the voice of these people.  #mahsaami̇ni̇   #Javanrud   #OpIran https://t.co/odyWe8CaUR",en,27,2022-12-31 15:05:35+00:00,
Maria83h,"@bwrun1 @mim_nonn #KianoushKimia  26-year-old Iranian protestor Kianoush Kimia was kidnapped by security forces on Friday, September 23, 2022.  Until today, December 30, there is no news about him!!  #SS35  @UN_HRC  #R2PforIran  #OpIran https://t.co/D50LZuXWts",en,5,2022-12-31 15:02:50+00:00,"بین ماشینا!نیکامیگه""تکون نخور"""
annalouisegold,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:01:41+00:00,
GRAHAMMOORE11,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:00:25+00:00,"Yorkshire and The Humber, UK"
zia29_11,Breaking down everything from the disgusting manipulation of NIAC and #IranLobby to discussing political sponsors like @FranckenTheo and @YeOne_Rhie plus why I asked @lisamurkowski to be the sponsor of an innocent Iranian protester on death row. #OpIran #IranRevoIution #Iran https://t.co/QkCnN26hGq,en,1226,2022-12-31 15:00:17+00:00,
MsMackem,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:58:31+00:00,Sunderland
AliceFromSky,"@Hengaw_English Today, the Islamic Republic of Iran is once again killing Iranian people with war bullets. It is a fact that the IR and IRGC are terrorists. Please do not close your eyes to the crimes. #MahsaAmini #OpIran #IranRevolution @JosepBorrellF @ABaerbock @HNeumannMEP @n_roettgen @BILD",en,1,2022-12-31 14:57:15+00:00,
ElaineLELampre1,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:56:00+00:00,
VonBadseed,"People of Iran, the citizens of the world have heard your voice! #zan_zendegi_azadi   #women_life_freedom #OpIran   #FreeIran2022  #MahsaAmini  #zhinaamini  #iranrevolution2022   https://t.co/sxSUp3DGX0",en,0,2022-12-31 14:55:05+00:00,"Helsinki, Finland"
iraneazad2581,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:53:50+00:00,
Parvaneh85,والا 👌    We Are Anonymous  We Are Legion   We Don't Forget  We Don't Forgive  Expect Us!   #OpIran  #مهسا_امینی  #اعتصابات_سراسری https://t.co/XLWBIcHBw3,en,481,2022-12-31 14:53:23+00:00,No place 
Mrs_Mehrvash,"Many of the protesters of the recent nationwide protests in Iran were kidnapped by the repressive force of the regime of the occupying mullahs of Iran, and there is no trace of them.Masumeh Hosein Zadeh @ahiza_garcia  @NatashaChenCNN #مهسا_امینی #OpIran‌‌ @SenSchumer https://t.co/UwfQCGUAzt",en,11,2022-12-31 14:53:07+00:00,ایران :تهران 
HPbranchLabour,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:53:07+00:00,Brighton
ASirvan2020,@johnn_poul Let's see.  #OpIran,en,4,2022-12-31 14:52:49+00:00,
Mrs_Mehrvash,"Iran_Javanrood.Dec31 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month.#OpIran #مهسا_امینی @USAmbUN30 https://t.co/XVRLbSDK12",en,5,2022-12-31 14:52:32+00:00,ایران :تهران 
ZAPATAkord,"@1500tasvir #BorhanEliasi, a 22 year-old was shot to death by Islamic Republic’s forces today at #Javanroud. December 31.  #IranRevolution  #MahsaAmini  #OpIran   Please help https://t.co/uCvwd85RQa",en,17,2022-12-31 14:52:24+00:00,
mahihkan65,"Many of the protesters of the recent nationwide protests in Iran were kidnapped by the repressive force of the regime of the occupying mullahs of Iran, and there is no trace of them.Masumeh Hosein Zadeh @ahiza_garcia  @NatashaChenCNN #مهسا_امینی #OpIran‌‌ @SenSchumer https://t.co/UwfQCGUAzt",en,11,2022-12-31 14:52:05+00:00,"Toronto, Ontario Canada 🇨🇦✌️"
Mrs_Mehrvash,"Iran_Karaj.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month. #OpIran #مهسا_امینی @SenTedCruz https://t.co/CvK3yKsVA4",en,12,2022-12-31 14:51:59+00:00,ایران :تهران 
FahimehVahdat,#Toomaj_Salehi is #Iran's hero. Stay strong #ToomajSalehi. We are rooting for you.  Thank you Ye-One Rhie for your support. #IranRevolution   #WomanLifeFreedom #OpIran https://t.co/BFPJpn54ci,en,0,2022-12-31 14:51:56+00:00,USA
MehrdadPayande1,2023 will be the year of the fall of the #IslamicRepublic of #Iran. #IranRevolution is unstoppable. @khamenei_ir your end is coming.     #2023Predictions  #IranRevolution2023   #WomanLifeFreedom  #OpIran  #MahsaAmini https://t.co/oAva4Sy0ls,en,3,2022-12-31 14:50:13+00:00,
48sufi,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:49:31+00:00,
anonymousopiran,@johnn_poul Let's see.  #OpIran,en,4,2022-12-31 14:48:06+00:00,Your Ethernet cable
WhitesidePaula,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:46:23+00:00,
Mrs_Mehrvash,"Iran_Rodsar.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers""and the same in the country for more than over 3 Month.#OpIran #مهسا_امینی @SenRubioPress https://t.co/tIpB7Qpoxr",en,8,2022-12-31 14:45:06+00:00,ایران :تهران 
Mrs_Mehrvash,"Iran_Khash.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month. #OpIran #مهسا_امینی @SenRickScott https://t.co/jZIrgl6vmT",en,7,2022-12-31 14:44:57+00:00,ایران :تهران 
azar87020677,@johnn_poul That's a big work.   #OpIran   @anonymousopiran,en,0,2022-12-31 14:44:52+00:00,"Tehran,Iran"
BugAtFirstSight,"Work, which makes a man free, and thought, which makes him worthy of freedom. #VictorHugo  #SayTheirNames #Hossein_ShanbehZadeh #HosseinShanbehZadeh  #IranRevolution #OpIran #MahsaAmini #مهسا_امینی",en,0,2022-12-31 14:43:14+00:00,
Rr0xana,"@BlackFishOrg @n_roettgen @ABaerbock @dckshow And what about the many Islamic regime banks operating in Germany? Shame on you germany, for trading worth billions of dollars with the terrorists and allowing money to funnel into the terror regimes pockets!!   @YourAnonOne  @AnonymousUK2022  #مهسا_امینی #OpIran #mahsaamini",en,0,2022-12-31 14:39:39+00:00,
BR71041185,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:39:10+00:00,"New Jersey, USA"
patrick200180,Sattar Khan and Baqir Khan are all the garbage of the Qajar era and the guard dogs of British interests.   #Mahsa_Amini   #Opiran   #IranRevolution https://t.co/M33Uup7Agi,en,2,2022-12-31 14:39:06+00:00,Monaco - Plage du Larvotto 
BR71041185,❗️Important clip: words  of RECENTLY DEFECTED IRI’s Ministry Of Intelligence officer says the regime now very fearful and beginning to crack. “If these protests continue the regime is bound to go.” Well done @VICENews getting this out #Mahsa_Amini #OpIran #IranRevoIution https://t.co/kCzYbsLoKb,en,731,2022-12-31 14:38:45+00:00,"New Jersey, USA"
patrick200180,Sattar Khan and Baqir Khan are all the garbage of the Qajar era and the guard dogs of British interests.   #Mahsa_Amini   #Opiran   #IranRevolution https://t.co/M33Uup7Agi,en,2,2022-12-31 14:37:23+00:00,Monaco - Plage du Larvotto 
damosposts,"Degrading women &amp; their human rights is an abuse of power, an abuse of humanity and an abuse of God.  #TheunholymenofIran  #Opiran  #ReligiousAbusers  #Misogynists https://t.co/e9hdrmdosc https://t.co/XmPIyPlJK7",en,1,2022-12-31 14:36:56+00:00,Eire
TalentCoop,"Degrading women &amp; their human rights is an abuse of power, an abuse of humanity and an abuse of God.  #TheunholymenofIran  #Opiran  #ReligiousAbusers  #Misogynists https://t.co/e9hdrmdosc https://t.co/XmPIyPlJK7",en,1,2022-12-31 14:35:48+00:00,Here & There .... 
colin_ferries,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:35:39+00:00,
friend_Kaveh,"Iran_Karaj.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month. #OpIran #مهسا_امینی @SenTedCruz https://t.co/CvK3yKsVA4",en,12,2022-12-31 14:34:29+00:00,
anonymous_ahwaz,@youniverse111 Anonymous is not a group. It's an Idea  #OpIran,en,9,2022-12-31 14:34:13+00:00,Infinity
MandiRo15485214,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:33:56+00:00,Rearranging the library 
benitezrocks,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:31:10+00:00, East Yorkshire
IntrovertGuy24,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:30:01+00:00,
CWaterworth2,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:27:55+00:00,
DianeDa53311333,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:26:33+00:00,
ElectraIsHere,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:26:07+00:00,"London, England"
ariagoon,This should be bigger news. #StopExecutionInIran #OpIran #IranRevolution #iran https://t.co/806adYdelj,en,3535,2022-12-31 14:20:37+00:00,
eileenmaria91,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:20:08+00:00,United Kingdom
_SagSia_,Ban this MURDERER!!!!!!  #MahsaAmini  #OpIran https://t.co/0eG0ItqWep,en,1,2022-12-31 14:19:35+00:00,Hell
_bedone_lou,I wanna die  #MahsaAmini  #OpIran,en,1,2022-12-31 14:19:23+00:00,جایی ک تو آزادیش لویی داره
HansFaktor,Free Iran #OpIran #IranRevoIution #FreeIran2023 #Iran #Iranian https://t.co/w2rO8aFurt,en,5,2022-12-31 14:15:39+00:00,"Leipzig, Sachsen"
nahalemami,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:15:32+00:00,
narengibanafsh,Women's rights are human rights.  Jin Jiyan Azadi  #OpAFG   #OpIran https://t.co/GJmHDawRp0,en,155,2022-12-31 14:15:25+00:00,
EnqelabeIrani,"As the Black Block collective, it is our statement to our friends in Iran, to the Iranian people.   #OpIran #IranRevoIution2022   #مهسا_امینی https://t.co/lXckzfCL5Q",en,127,2022-12-31 14:15:11+00:00,
Mahroo5543,No one supports mojahedin in Iran.   #مهسا_امینی   #اعتصابات_سراسری   #نه_به_جمهوري_اسلامي   #نه_به_مجاهدین   #OpIran https://t.co/Y5jJCco46G,en,0,2022-12-31 14:14:01+00:00,
KrisHolt1,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:12:10+00:00,"Norwich, England"
Romrom00467453,Ban this MURDERER!!!!!!  #MahsaAmini  #OpIran https://t.co/0eG0ItqWep,en,1,2022-12-31 14:11:37+00:00,
ForworkJust,Women's rights are human rights.  Jin Jiyan Azadi  #OpAFG   #OpIran https://t.co/GJmHDawRp0,en,155,2022-12-31 14:11:10+00:00,
mehrdadshajirat,"Iran and Afghanistan are in a culture war between their citizens and the tyrannical, hedonistic psychopaths who run their lives.     Idk how else to really put it.    We can support the people or we can support corrupt, evil, lunatics who are starving and slaughtering people. #OpIran",en,773,2022-12-31 14:11:06+00:00,
siavashh110,والا 👌    We Are Anonymous  We Are Legion   We Don't Forget  We Don't Forgive  Expect Us!   #OpIran  #مهسا_امینی  #اعتصابات_سراسری https://t.co/XLWBIcHBw3,en,481,2022-12-31 14:10:49+00:00,
patcan3,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:10:19+00:00,
Romrom00467453,Why is the dictatorial Khamenei still on Twitter? #MahsaAmini #OpIran https://t.co/0eG0ItqWep,en,0,2022-12-31 14:09:32+00:00,
madlove_love,"#OpIran the Islamic republic is killing Iranian youth, we don't forget, we don't forgive!    Expect us... https://t.co/LI43545osr",en,30,2022-12-31 14:09:04+00:00,
jonnyhusband1,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:05:54+00:00,"Swindon, England"
sinasang4,"@UN_HRC @GermanyDiplo oday, Burhan Eliasi, a 22-year-old young man of Javanroudi, was shot dead by the oppressors of the Islamic Republic. Does the fact-finding committee see this? The crime of the Islamic Republic is obvious  #MahsaAmini #BorhanEliasi #opiran‌‌",en,0,2022-12-31 14:05:35+00:00,
Liverpoolexile,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:05:22+00:00,
RealKivij,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:05:03+00:00,
tala_tehrani,Happy New Year Anonymous    LOVE AND PEACE  @anonymousopiran   @YourAnonRiots   @Anonymous_VNPC   @YourAnonNews   @YourAnonStory   @YourAnonCentral   @YourAnonOne    @anon_met   @LatestAnonPress   @AnonymousWamp   @AL3_hacker   #OpIran   #MahsaAmini,en,10,2022-12-31 14:04:52+00:00,
natascha_nie,والا 👌    We Are Anonymous  We Are Legion   We Don't Forget  We Don't Forgive  Expect Us!   #OpIran  #مهسا_امینی  #اعتصابات_سراسری https://t.co/XLWBIcHBw3,en,481,2022-12-31 14:03:59+00:00,
EliiisssaaaY,Take the risk or lose the chance.  #IranianRevolution   #MahsaAmini   #OpIran,en,0,2022-12-31 14:03:57+00:00,
MathewBentley3,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 14:01:25+00:00,
BugAtFirstSight,The time is always right to do what is right. #MartinLutherKingJr  #SayTheirNames #Saeed_Yaghoubi #SaeedYaghoubi  #IranRevolution #OpIran #MahsaAmini #مهسا_امینی,en,0,2022-12-31 14:01:14+00:00,
